"Mobile Suit Gundam: Iron-Blooded Orphans", "Mobile Suit Gundam - Iron-Blooded Orphans", "https://myanimelist.net/anime/31251"
"Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen", "Shouwa Genroku Rakugo Shinjuu S2", "https://myanimelist.net/anime/33095"
"Chain Chronicle: Haecceitas no Hikari", "Chain Chronicle - Haecceitas no Hikari", "https://myanimelist.net/anime/28833/"
"Ao no Exorcist: Kyoto Fujouou-hen", "Ao no Exorcist - Kyoto Fujouou-hen", "https://myanimelist.net/anime/33506/"
"Uchouten Kazoku 2", "Uchouten Kazoku S2", "https://myanimelist.net/anime/34076/?a=2"
